iter	Passed	Remaining
741	4576	1591
742	4581	1584
743	4587	1578
744	4593	1572
745	4598	1565
746	4604	1559
747	4609	1553
748	4614	1546
749	4620	1540
750	4625	1533
751	4630	1527
752	4636	1520
753	4641	1514
754	4646	1507
755	4652	1501
756	4657	1495
757	4662	1488
758	4671	1483
759	4676	1476
760	4681	1470
761	4687	1464
762	4692	1457
763	4697	1451
764	4703	1444
765	4709	1438
766	4715	1432
767	4720	1426
768	4725	1419
769	4731	1413
770	4737	1407
771	4742	1400
772	4747	1394
773	4753	1387
774	4760	1382
775	4769	1376
776	4778	1371
777	4790	1366
778	4809	1364
779	4817	1358
780	4825	1353
781	4834	1347
782	4843	1342
783	4852	1336
784	4860	1331
785	4870	1325
786	4877	1320
787	4887	1315
788	4895	1309
789	4904	1303
790	4911	1297
791	4920	1292
792	4928	1286
793	4936	1280
794	4944	1274
795	4952	1269
796	4958	1262
797	4964	1256
798	4970	1250
799	4975	1243
800	4981	1237
801	4986	1231
802	4992	1224
803	4999	1218
804	5005	1212
805	5011	1206
806	5016	1199
807	5022	1193
808	5028	1187
809	5034	1180
810	5040	1174
811	5046	1168
812	5053	1162
813	5060	1156
814	5067	1150
815	5074	1144
816	5080	1137
817	5086	1131
818	5092	1125
819	5098	1119
820	5103	1112
821	5109	1106
822	5115	1100
823	5121	1093
824	5127	1087
825	5133	1081
826	5139	1075
827	5145	1068
828	5151	1062
829	5157	1056
830	5162	1049
831	5168	1043
832	5174	1037
833	5179	1030
834	5184	1024
835	5191	1018
836	5196	1011
837	5201	1005
838	5207	999
839	5213	993
840	5218	986
841	5225	980
842	5230	974
843	5235	967
844	5241	961
845	5247	955
846	5252	948
847	5258	942
848	5263	936
849	5269	929
850	5275	923
851	5280	917
852	5286	910
853	5292	904
854	5297	898
855	5302	892
856	5309	885
857	5315	879
858	5322	873
859	5327	867
860	5333	861
861	5340	854
862	5345	848
863	5351	842
864	5357	836
865	5362	829
866	5367	823
867	5373	817
868	5379	810
869	5385	804
870	5390	798
871	5395	792
872	5402	785
873	5408	779
874	5415	773
875	5421	767
876	5427	761
877	5432	754
878	5438	748
879	5443	742
880	5450	736
881	5455	729
882	5461	723
883	5468	717
884	5473	711
885	5479	705
886	5485	698
887	5491	692
888	5496	686
889	5502	680
890	5508	673
891	5513	667
892	5519	661
893	5525	655
894	5530	648
895	5536	642
896	5541	636
897	5547	630
898	5553	623
899	5558	617
900	5564	611
901	5569	605
902	5574	598
903	5580	592
904	5586	586
905	5591	580
906	5598	574
907	5603	567
908	5608	561
909	5614	555
910	5619	549
911	5625	542
912	5631	536
913	5637	530
914	5642	524
915	5649	518
916	5654	511
917	5659	505
918	5665	499
919	5671	493
920	5677	486
921	5682	480
922	5687	474
923	5693	468
924	5699	462
925	5704	455
926	5712	449
927	5717	443
928	5723	437
929	5730	431
930	5736	425
931	5743	419
932	5748	412
933	5755	406
934	5761	400
935	5766	394
936	5773	388
937	5780	382
938	5788	376
939	5796	369
940	5801	363
941	5807	357
942	5813	351
943	5818	345
944	5824	339
945	5830	332
946	5835	326
947	5841	320
948	5847	314
949	5853	308
950	5860	301
951	5866	295
952	5873	289
953	5879	283
954	5884	277
955	5893	271
956	5899	265
957	5905	258
958	5911	252
959	5916	246
960	5923	240
961	5929	234
962	5936	228
963	5942	221
964	5949	215
965	5956	209
966	5962	203
967	5970	197
968	5976	191
969	5982	185
970	5989	178
971	5995	172
972	6002	166
973	6009	160
974	6016	154
975	6024	148
976	6034	142
977	6042	135
978	6049	129
979	6058	123
980	6067	117
981	6075	111
982	6083	105
983	6090	99
984	6098	92
985	6105	86
986	6112	80
987	6121	74
988	6127	68
989	6136	61
990	6143	55
991	6150	49
992	6157	43
993	6165	37
994	6174	31
995	6182	24
996	6189	18
997	6196	12
998	6202	6
999	6209	0
